Restaurant ID,Restaurant,Address,Locality,Cuisines,Average Cost for two,Rating,Rating text,Votes
3700,Kamal's,"C-31, Gurudwara Road, Madhu Vihar, IP Extension, New Delhi",IP Extension,"North Indian, South Indian, Chinese, Fast Food",550,3,Average,103
3093,Kocktails & Kurries,"4, Atlantic Plaza, Local Shopping Complex, IP Extension, New Delhi",IP Extension,"North Indian, Chinese",950,3,Average,94
308849,Madras Cafe,"C 30, Madhuvihar, IP Extension, New Delhi",IP Extension,South Indian,150,3,Average,22
301149,Mahalaxmi Dairy & Sweets,"C-2/1, Madhu Vihar, Sai Chowk, IP Extension, New Delhi",IP Extension,"Mithai, Street Food",100,3,Average,16
305159,Meet n Eat,"G-2, Atlantic Plaza, LSC 2, Opposite Ajanta Apartment, IP Extension, New Delhi",IP Extension,"North Indian, Fast Food, Chinese",450,3,Average,56
6256,Punjabi Mirchi,"G-21, Pankaj Central Market, Near Plato Public School, IP Extension, New Delhi",IP Extension,"North Indian, Mughlai, Chinese",650,3,Average,49
18258483,The Garam Masala,"G-7, Aggarwal Tower, Near Ajanta Market, LSC 2, IP Extension, New Delhi",IP Extension,"North Indian, Chinese",400,3,Average,60
9806,Unique Pastry Shop,"C-15, Madhu Vihar, IP Extension, New Delhi",IP Extension,Bakery,200,3,Average,86
303590,Vaishno Amritsari Dhaba,"G-12, Aggarwal Tower, Local Shopping Complex 2, Near AVB Public School, IP Extension, New Delhi",IP Extension,North Indian,350,3,Average,51
311263,Zara Restaurant,"Shop 15, DDA Market, Opposite Mayor Public School, IP Extension, New Delhi",IP Extension,"North Indian, Mughlai",400,3,Average,24
303592,Bhatia Sweets,"2, DDA Market 2, Near Balco Apartment, IP Extension, New Delhi",IP Extension,"Mithai, South Indian, Street Food",150,4,Good,97
18228856,De Cafepedia,"B-41, Shop 2, Gurdwara Road, Madhu Vihar, IP Extension, New Delhi",IP Extension,"Fast Food, Chinese",250,4,Good,60
18308458,Icy Curls,"C-12/1 Main Road, Madhu Vihar Market, IP Extension, New Delhi",IP Extension,"Desserts, Ice Cream",300,4,Good,25
18378062,Chakhna,"G-2, Pankaj Plaza, Patparganj, IP Extension, New Delhi",IP Extension,"North Indian, Chinese",400,1,Not rated,3
18464687,Choco-House Chocolatiers,"224 Vardhman Plaza, 9 Local Shopping Center 2, IP Extension, New Delhi",IP Extension,Desserts,500,1,Not rated,0
18428622,D Brown Affairs,"Anamika Apartments, IP Extension, New Delhi",IP Extension,"Bakery, Desserts",300,1,Not rated,0
18432941,Daya Sagar,"204, Gali Number 13, Chander Vihar, IP Extension, New Delhi",IP Extension,"North Indian, Chinese, Mughlai",400,1,Not rated,0
18264980,Food Code 99,"C-72A, Shri Ram Chowk, Mandawali, Opposite Subzi Mandi, Vinod Nagar, Near, IP Extension, New Delhi",IP Extension,"Chinese, South Indian, Fast Food",300,1,Not rated,1
18378025,Foodie Singh,"A-105, Shop 4, Chander Vihar Market, Sahyadri Appartment, IP Extension, New Delhi",IP Extension,North Indian,500,1,Not rated,3
18493572,Gluten Free by Deepika,"Agrasen Apartments, IP Extension, New Delhi",IP Extension,"Bakery, Healthy Food",350,1,Not rated,0
18441696,Jain Restaurant,"246/67, Opposite Prince Apartment, IP Extension, New Delhi",IP Extension,North Indian,500,1,Not rated,0
18421488,Kesariya Sweets,"G 8, Aggarwal Tower, LSC 2, Patparganj, IP Extension, New Delhi",IP Extension,Mithai,250,1,Not rated,2
308853,KG Confectionery and Pastry Shop,"C-18, Madhuvihar, Opposite OM Bikanerwala, IP Extension, New Delhi",IP Extension,"Bakery, Desserts",100,1,Not rated,2
312864,Krishna Da Dhaba,"Shop C- 31 A, Madhu Vihar, IP Extension, New Delhi",IP Extension,North Indian,200,1,Not rated,3
18492957,Little Cup Cake,"107, Vidhi Apartments, Plot 116, IP Extension, New Delhi",IP Extension,"Bakery, Desserts",350,1,Not rated,0
18439029,New Kovilakam Restaurant,"A 70/3, Gali 5, Madhu Vihar, IP Extension, New Delhi",IP Extension,"Kerala, South Indian",400,1,Not rated,1
